1.551,2.481
1.948,2.246
1.990,2.384
2.108,2.549
2.422,3.292
1.971,2.384
1.974,2.201
1.944,2.062
1.700,1.730
1.522,1.506
1.231,1.273
1.142,1.152
1.121,1.058
0.860,0.870
0.956,0.852
0.939,0.799
1.019,0.982
1.208,1.099
1.220,1.139
1.040,1.265
1.208,1.724
1.187,1.650
1.241,1.756
1.184,1.716
0.942,0.924
0.649,0.774
1.326,1.664
1.343,1.858
1.454,1.561
1.592,1.530
1.483,1.507
1.186,1.152
1.288,1.221
1.587,1.542
1.370,1.393
1.380,1.470
1.481,1.539
1.451,1.436
1.477,1.479
1.581,1.593
1.414,1.375
0.783,0.891
0.715,0.739
1.189,1.281
1.350,1.581
1.561,1.901
1.876,1.976
1.926,2.194
1.674,2.057
1.433,1.811
1.201,1.460
1.096,1.225
144.347,234.779
0.986,0.938
0.906,0.922
0.817,0.953
0.656,0.774
0.840,0.831
1.030,1.187
0.902,1.205
1.505,1.618
1.462,1.521
1.201,1.224
0.797,0.968
0.735,0.798
0.672,0.616
0.661,0.474
0.768,0.699
1.079,1.023
1.062,1.099
1.043,1.189
1.366,1.531
1.963,1.977
2.307,2.472
1.862,1.746
1.819,1.771
1.830,1.905
2.923,3.034
